eta index 1,eta index 2,centrality index,mean 1,mean 2,cov,Sigma,Delta,Bcorr
2,10,6,1.88343,1.90523,0.602451,1.09464,3.17459,0.225145
2,10,7,1.48011,1.47889,0.472073,1.08539,-49.7562,0.22721
2,10,8,1.10101,1.09097,0.338316,1.07718,-1.33204,0.222741
2,11,0,2.32687,2.42035,3.0122,1.10082,-0.75391,0.5355
2,11,1,5.21015,5.62999,2.22394,1.10154,1.21919,0.27153
2,11,2,3.92315,4.16296,1.22893,1.10166,1.56199,0.216364
2,11,3,3.27651,3.42384,1.01811,1.10499,1.85614,0.215791
2,11,4,2.75306,2.85259,0.851031,1.09829,1.61307,0.216628
2,11,5,2.29719,2.35498,0.702544,1.09844,1.78383,0.215689
2,11,6,1.88343,1.90488,0.576328,1.10377,4.02264,0.216122
2,11,7,1.48011,1.47795,0.454287,1.09997,-23.7062,0.218301
2,11,8,1.10101,1.08909,0.329485,1.08125,-1.58542,0.217701
2,12,0,2.32687,2.43413,3.01881,1.10983,-0.728149,0.533298
2,12,1,5.21015,5.6864,2.19547,1.11204,1.17925,0.266137
2,12,2,3.92315,4.19769,1.20008,1.10958,1.55776,0.210487
2,12,3,3.27651,3.445,0.997876,1.11243,1.78379,0.210784
2,12,4,2.75306,2.86031,0.823592,1.10798,1.62511,0.209439
2,12,5,2.29719,2.36221,0.680475,1.10686,1.85106,0.208826
2,12,6,1.88343,1.91374,0.562892,1.10902,3.58334,0.210985
2,12,7,1.48011,1.48223,0.441667,1.1077,28.8043,0.212122
2,12,8,1.10101,1.0897,0.315915,1.09187,-2.10468,0.208959
2,13,0,2.32687,2.44661,3.01829,1.11765,-0.589292,0.530855
2,13,1,5.21015,5.73168,2.14277,1.11985,1.27917,0.259332
2,13,2,3.92315,4.22571,1.17271,1.11804,1.5251,0.204897
2,13,3,3.27651,3.46754,0.969047,1.11938,1.83353,0.204424
2,13,4,2.75306,2.87704,0.782754,1.11855,1.81438,0.199178
2,13,5,2.29719,2.37354,0.670456,1.10932,1.94159,0.205644
2,13,6,1.88343,1.91515,0.543503,1.1175,3.70937,0.203918
2,13,7,1.48011,1.48279,0.430618,1.11124,27.4975,0.207373
2,13,8,1.10101,1.09039,0.305074,1.10141,-2.42479,0.201791
2,14,0,2.32687,2.43237,2.98642,1.12624,-0.924755,0.527056
2,14,1,5.21015,5.7107,2.07475,1.13199,1.26087,0.251489
2,14,2,3.92315,4.20907,1.13199,1.12655,1.5576,0.198306
2,14,3,3.27651,3.45264,0.929863,1.12455,2.09064,0.197427
2,14,4,2.75306,2.86191,0.750885,1.12918,1.86837,0.191566
2,14,5,2.29719,2.35728,0.640313,1.11736,2.38692,0.197635
2,14,6,1.88343,1.89631,0.527114,1.11863,8.82168,0.199621
2,14,7,1.48011,1.46943,0.410536,1.12137,-5.68694,0.198895
2,14,8,1.10101,1.07876,0.295756,1.10961,-0.306662,0.196503
2,15,0,2.32687,2.24936,2.74887,1.18874,7.06613,0.503273
2,15,1,5.21015,5.29464,1.8811,1.231,-9.46364,0.225627
2,15,2,3.92315,3.89717,0.996081,1.20091,15.1139,0.175106
2,15,3,3.27651,3.19667,0.834791,1.18422,3.33467,0.178919
2,15,4,2.75306,2.64442,0.68433,1.17481,2.5372,0.177638
2,15,5,2.29719,2.17613,0.565951,1.16474,1.87078,0.178587
2,15,6,1.88343,1.75308,0.471554,1.15767,1.26276,0.183115
2,15,7,1.48011,1.35536,0.364023,1.15204,1.04582,0.182354
2,15,8,1.10101,0.993404,0.261109,1.13241,1.07473,0.180595
3,0,0,2.3508,2.27477,2.94055,1.02874,0.20431,0.552757
3,0,1,5.28803,5.03622,2.42928,1.03274,1.34076,0.313109
3,0,2,3.97941,3.82508,1.50414,1.02686,1.49192,0.272984
3,0,3,3.31196,3.1913,1.25981,1.02932,1.13081,0.273499
3,0,4,2.78045,2.69482,1.05449,1.02558,1.13327,0.273053
3,0,5,2.32041,2.25944,0.886964,1.02621,1.61008,0.274046
3,0,6,1.8903,1.85029,0.735417,1.03146,1.44564,0.276016
3,0,7,1.48593,1.45779,0.575926,1.0294,0.672081,0.275426
3,0,8,1.10438,1.09425,0.416787,1.02703,1.94576,0.269628
3,1,0,2.3508,2.30398,3.01964,1.01515,0.0878703,0.561032
3,1,1,5.28803,5.13534,2.54834,1.01366,1.18175,0.325429
3,1,2,3.97941,3.87725,1.56511,1.01661,1.74203,0.281598
3,1,3,3.31196,3.23587,1.31222,1.01692,1.04064,0.282724
3,1,4,2.78045,2.72796,1.09124,1.01373,0.865756,0.281015
3,1,5,2.32041,2.28021,0.92002,1.01369,1.72493,0.282941
3,1,6,1.8903,1.87132,0.759914,1.02036,1.41477,0.283658
3,1,7,1.48593,1.46918,0.601504,1.01431,0.278486,0.286403
3,1,8,1.10438,1.10009,0.427931,1.01404,0.693856,0.276863
3,2,0,2.3508,2.32687,4.25065,0.50488,-0.185299,0.782595
3,2,1,5.28803,5.21015,5.2417,0.505557,1.06925,0.663901
3,2,2,3.97941,3.92315,3.57819,0.50484,1.36924,0.642079
3,2,3,3.31196,3.27651,3.01211,0.505971,1.08063,0.64377
3,2,4,2.78045,2.75306,2.50798,0.503898,0.443974,0.64272
3,2,5,2.32041,2.29719,2.09423,0.500954,0.839004,0.644217
3,2,6,1.8903,1.88343,1.72584,0.508939,0.959062,0.642498
3,2,7,1.48593,1.48011,1.36507,0.506241,0.812387,0.645169
3,2,8,1.10438,1.10101,0.990472,0.502789,-0.327178,0.641126
3,3,0,2.3508,2.3508,5.48957,0,-inf,1
3,3,1,5.28803,5.28803,7.97117,0,inf,1
3,3,2,3.97941,3.97941,5.6138,0,-inf,1
3,3,3,3.31196,3.31196,4.71015,0,-inf,1
3,3,4,2.78045,2.78045,3.93481,0,inf,1
3,3,5,2.32041,2.32041,3.27386,0,inf,1
3,3,6,1.8903,1.8903,2.69263,0,-inf,1
3,3,7,1.48593,1.48593,2.12179,0,-inf,1
3,3,8,1.10438,1.10438,1.55018,0,inf,1
3,4,0,2.3508,2.37057,4.34803,0.503939,-0.195502,0.785173
3,4,1,5.28803,5.35829,5.36589,0.502334,1.05874,0.667415
3,4,2,3.97941,4.02577,3.64503,0.503723,0.775474,0.643862
3,4,3,3.31196,3.33727,3.05258,0.504401,1.31456,0.645435
3,4,4,2.78045,2.80161,2.53432,0.505412,1.87375,0.642431
3,4,5,2.32041,2.34108,2.1193,0.502576,1.19487,0.644036
3,4,6,1.8903,1.89863,1.73759,0.506624,1.70905,0.644181
3,4,7,1.48593,1.49004,1.36618,0.507489,3.08899,0.644027
3,4,8,1.10438,1.1059,0.996373,0.502245,1.17176,0.64223
3,5,0,2.3508,2.38296,3.16751,1.01459,-0.264914,0.568783
3,5,1,5.28803,5.41173,2.66012,1.01307,1.25608,0.32924
3,5,2,3.97941,4.05683,1.611,1.01532,0.835481,0.283099
3,5,3,3.31196,3.35991,1.33817,1.01452,2.32718,0.283377
3,5,4,2.78045,2.81009,1.10747,1.0178,1.63803,0.280202
3,5,5,2.32041,2.34677,0.931256,1.01375,1.07051,0.282463
3,5,6,1.8903,1.90307,0.770643,1.01389,2.68492,0.286099
3,5,7,1.48593,1.49346,0.602909,1.01937,2.94412,0.284199
3,5,8,1.10438,1.10529,0.430217,1.01323,3.92332,0.277618
3,6,0,2.3508,2.38143,3.14815,1.02749,-1.18849,0.564258
3,6,1,5.28803,5.43664,2.60867,1.02713,1.05953,0.321419
3,6,2,3.97941,4.05673,1.54591,1.02948,1.04637,0.272058
3,6,3,3.31196,3.36584,1.28033,1.03356,2.06041,0.270629
3,6,4,2.78045,2.81126,1.07543,1.0269,2.07302,0.272513
3,6,5,2.32041,2.33822,0.898812,1.02579,1.21122,0.273346
3,6,6,1.8903,1.89527,0.742257,1.02255,8.85058,0.277206
3,6,7,1.48593,1.48446,0.586501,1.02611,-12.4652,0.277902
3,6,8,1.10438,1.09686,0.412133,1.02473,0.0919269,0.267624
3,7,0,2.3508,2.3835,3.12988,1.04224,-1.90133,0.559213
3,7,1,5.28803,5.46692,2.54554,1.04277,0.982101,0.312239
3,7,2,3.97941,4.07103,1.49812,1.04173,1.12928,0.26324
3,7,3,3.31196,3.3657,1.24205,1.04511,2.05019,0.262526
3,7,4,2.78045,2.81911,1.0309,1.04226,2.09601,0.261067
3,7,5,2.32041,2.33634,0.862207,1.04267,0.803857,0.262075
3,7,6,1.8903,1.89295,0.701344,1.04595,12.479,0.261712
3,7,7,1.48593,1.47607,0.558172,1.038,-2.4836,0.266378
3,7,8,1.10438,1.08779,0.395417,1.03568,0.44914,0.258339
3,8,0,2.3508,2.40068,3.12504,1.05687,-1.19717,0.554497
3,8,1,5.28803,5.52462,2.47236,1.05971,1.06789,0.301488
3,8,2,3.97941,4.11285,1.44624,1.05605,1.2427,0.252904
3,8,3,3.31196,3.39075,1.20224,1.05655,2.00783,0.253506
3,8,4,2.78045,2.83755,0.995491,1.05822,1.66673,0.250895
3,8,5,2.32041,2.35112,0.831364,1.05505,1.39927,0.252262
3,8,6,1.8903,1.89895,0.671809,1.063,4.4307,0.250141
3,8,7,1.48593,1.47972,0.535534,1.0514,-5.90555,0.255687
3,8,8,1.10438,1.091,0.379118,1.04905,-0.111851,0.247684
3,9,0,2.3508,2.41098,3.10821,1.06811,-0.703205,0.550006
3,9,1,5.28803,5.56487,2.40466,1.06822,1.35241,0.293281
3,9,2,3.97941,4.1343,1.37118,1.07021,1.54246,0.240069
3,9,3,3.31196,3.41053,1.14846,1.06925,2.18872,0.242227
3,9,4,2.78045,2.84511,0.950573,1.07097,1.95982,0.239895
3,9,5,2.32041,2.35854,0.794396,1.06807,1.81137,0.241242
3,9,6,1.8903,1.90391,0.655902,1.06965,3.95084,0.244284
3,9,7,1.48593,1.48158,0.516854,1.06227,-10.364,0.246959
3,9,8,1.10438,1.09351,0.363617,1.05742,-1.70315,0.238338
3,10,0,2.3508,2.41476,3.08656,1.08123,-0.749184,0.545055
3,10,1,5.28803,5.59208,2.34034,1.08115,1.36586,0.28474
3,10,2,3.97941,4.14613,1.31285,1.0839,1.58961,0.229721
3,10,3,3.31196,3.41589,1.08829,1.08652,2.20715,0.229506
3,10,4,2.78045,2.8494,0.909672,1.08366,2.09747,0.229749
3,10,5,2.32041,2.35687,0.763417,1.07672,2.40401,0.232665
3,10,6,1.8903,1.90523,0.628932,1.08209,4.20639,0.234474
3,10,7,1.48593,1.47889,0.4926,1.07333,-7.957,0.236425
3,10,8,1.10438,1.09097,0.348776,1.07073,-1.08172,0.228845
3,11,0,2.3508,2.42035,3.07805,1.09291,-0.957374,0.541417
3,11,1,5.28803,5.62999,2.29634,1.09462,1.25609,0.277702
3,11,2,3.97941,4.16296,1.27729,1.09215,1.62467,0.223237
3,11,3,3.31196,3.42384,1.04793,1.09954,2.11287,0.220635
3,11,4,2.78045,2.85259,0.882604,1.09338,2.07287,0.222799
3,11,5,2.32041,2.35498,0.735717,1.08861,2.43452,0.224284
3,11,6,1.8903,1.90488,0.599656,1.09285,5.48393,0.224327
3,11,7,1.48593,1.47795,0.473943,1.08848,-5.85431,0.227107
3,11,8,1.10438,1.08909,0.335509,1.07882,-1.31092,0.220925
3,12,0,2.3508,2.43413,3.084,1.10233,-0.89119,0.53905
3,12,1,5.28803,5.6864,2.27076,1.10463,1.20273,0.272644
3,12,2,3.97941,4.19769,1.24651,1.10052,1.60974,0.217034
3,12,3,3.31196,3.445,1.03408,1.10509,1.98077,0.216981
3,12,4,2.78045,2.86031,0.845065,1.10662,2.04585,0.213115
3,12,5,2.32041,2.36221,0.709622,1.09872,2.42923,0.216238
3,12,6,1.8903,1.91374,0.579455,1.10167,4.36523,0.21667
3,12,7,1.48593,1.48223,0.462725,1.09526,-15.2961,0.221612
3,12,8,1.10438,1.0897,0.323516,1.08798,-1.70067,0.213257
3,13,0,2.3508,2.44661,3.08347,1.11024,-0.695359,0.536581
3,13,1,5.28803,5.73168,2.21829,1.11235,1.31971,0.265917
3,13,2,3.97941,4.22571,1.2144,1.11012,1.56345,0.210631
3,13,3,3.31196,3.46754,1.01587,1.10887,2.01506,0.212877
3,13,4,2.78045,2.87704,0.805773,1.11657,2.22037,0.203333
3,13,5,2.32041,2.37354,0.694446,1.10336,2.43953,0.211504
3,13,6,1.8903,1.91515,0.556827,1.11183,4.48312,0.208413
3,13,7,1.48593,1.48279,0.447093,1.10187,-22.0306,0.214703
3,13,8,1.10438,1.09039,0.313417,1.09683,-1.92421,0.206602
3,14,0,2.3508,2.43237,3.04567,1.12116,-1.15148,0.531826
3,14,1,5.28803,5.7107,2.14185,1.12591,1.29956,0.257152
3,14,2,3.97941,4.20907,1.15977,1.12194,1.6071,0.20169
3,14,3,3.31196,3.45264,0.960225,1.11879,2.3588,0.202519
3,14,4,2.78045,2.86191,0.77119,1.12809,2.36613,0.195112
3,14,5,2.32041,2.35728,0.66209,1.11223,3.38736,0.202918
3,14,6,1.8903,1.89631,0.534782,1.11589,17.8891,0.202036
3,14,7,1.48593,1.46943,0.421267,1.11581,-3.40998,0.203522
3,14,8,1.10438,1.07876,0.301121,1.1077,-0.309311,0.199385
3,15,0,2.3508,2.24936,2.80407,1.18393,5.41273,0.507948
3,15,1,5.28803,5.29464,1.95301,1.22393,-135.572,0.232023
3,15,2,3.97941,3.89717,1.02585,1.19579,5.77387,0.179022
3,15,3,3.31196,3.19667,0.855394,1.18122,2.65855,0.182117
3,15,4,2.78045,2.64442,0.699677,1.17521,2.13246,0.180114
3,15,5,2.32041,2.17613,0.581374,1.16202,1.71346,0.182163
3,15,6,1.8903,1.75308,0.483644,1.15233,1.2486,0.187356
3,15,7,1.48593,1.35536,0.375286,1.14576,1.03628,0.187469
3,15,8,1.10438,0.993404,0.267267,1.12942,1.03629,0.184224
4,0,0,2.37057,2.27477,2.94098,1.04424,0.124453,0.548036
4,0,1,5.35829,5.03622,2.36426,1.05129,1.28216,0.302128
4,0,2,4.02577,3.82508,1.46049,1.04387,1.33283,0.262843
4,0,3,3.33727,3.1913,1.21188,1.04589,1.16151,0.262017
4,0,4,2.80161,2.69482,1.01192,1.04083,1.27551,0.261361
4,0,5,2.34108,2.25944,0.865121,1.03841,1.50771,0.265933
4,0,6,1.89863,1.85029,0.710686,1.04491,1.49006,0.266265
4,0,7,1.49004,1.45779,0.557931,1.03987,0.974065,0.266882
4,0,8,1.1059,1.09425,0.405826,1.03742,1.84564,0.262326
4,1,0,2.37057,2.30398,3.02625,1.02821,0.00540119,0.557375
4,1,1,5.35829,5.13534,2.49804,1.02941,1.14411,0.316282
4,1,2,4.02577,3.87725,1.53581,1.03001,1.44807,0.274013
4,1,3,3.33727,3.23587,1.26557,1.03305,1.10745,0.271558
4,1,4,2.80161,2.72796,1.05985,1.02486,1.14995,0.272235
4,1,5,2.34108,2.28021,0.903257,1.02369,1.54804,0.276368
4,1,6,1.89863,1.87132,0.738481,1.032,1.50361,0.275173
4,1,7,1.49004,1.46918,0.584216,1.02427,0.825668,0.278236
4,1,8,1.1059,1.10009,0.417735,1.02371,0.818332,0.27005
4,2,0,2.37057,2.32687,3.09716,1.01413,-0.189869,0.56527
4,2,1,5.35829,5.21015,2.60408,1.01426,1.06434,0.327011
4,2,2,4.02577,3.92315,1.59848,1.01188,1.10478,0.284434
4,2,3,3.33727,3.27651,1.32494,1.02007,1.17705,0.282019
4,2,4,2.80161,2.75306,1.09958,1.01271,1.06117,0.281071
4,2,5,2.34108,2.29719,0.926725,1.00936,1.00492,0.283619
4,2,6,1.89863,1.88343,0.763826,1.01905,1.36847,0.28386
4,2,7,1.49004,1.48011,0.6059,1.01643,1.75026,0.28643
4,2,8,1.1059,1.10101,0.430202,1.01131,0.1373,0.278243
4,3,0,2.37057,2.3508,4.34803,0.503939,-0.19551,0.785173
4,3,1,5.35829,5.28803,5.36589,0.502334,1.05874,0.667415
4,3,2,4.02577,3.97941,3.64503,0.503723,0.77548,0.643862
4,3,3,3.33727,3.31196,3.05258,0.504401,1.31456,0.645435
4,3,4,2.80161,2.78045,2.53432,0.505412,1.87375,0.642431
4,3,5,2.34108,2.32041,2.1193,0.502576,1.19487,0.644036
4,3,6,1.89863,1.8903,1.73759,0.506624,1.70904,0.644181
4,3,7,1.49004,1.48593,1.36618,0.507489,3.08897,0.644027
4,3,8,1.1059,1.10438,0.996373,0.502245,1.17175,0.64223
4,4,0,2.37057,2.37057,5.58621,0,-inf,1
4,4,1,5.35829,5.35829,8.10903,0,-inf,1
4,4,2,4.02577,4.02577,5.70899,0,inf,1
4,4,3,3.33727,3.33727,4.7489,0,-inf,1
4,4,4,2.80161,2.80161,3.95499,0,inf,1
4,4,5,2.34108,2.34108,3.30753,0,inf,1
4,4,6,1.89863,1.89863,2.70211,0,inf,1
4,4,7,1.49004,1.49004,2.12082,0,-inf,1
4,4,8,1.1059,1.1059,1.55267,0,-inf,1
4,5,0,2.37057,2.38296,4.41811,0.504731,-0.377227,0.786457
4,5,1,5.35829,5.41173,5.42792,0.505352,1.5216,0.666073
4,5,2,4.02577,4.05683,3.69797,0.504958,0.926764,0.644398
4,5,3,3.33727,3.35991,3.04611,0.506381,3.47556,0.642421
4,5,4,2.80161,2.81009,2.54909,0.503748,1.04306,0.643299
4,5,5,2.34108,2.34677,2.13055,0.504825,0.613034,0.642928
4,5,6,1.89863,1.90307,1.74115,0.503577,4.5273,0.645264
4,5,7,1.49004,1.49346,1.3682,0.504611,2.76893,0.645088
4,5,8,1.1059,1.10529,0.994178,0.503562,-2.94236,0.641026
4,6,0,2.37057,2.38143,3.21509,1.01562,-3.02033,0.571249
4,6,1,5.35829,5.43664,2.70328,1.01581,1.06024,0.330233
4,6,2,4.02577,4.05673,1.61645,1.01797,1.45981,0.28209
4,6,3,3.33727,3.36584,1.32977,1.02065,2.73195,0.27993
4,6,4,2.80161,2.81126,1.11387,1.01289,2.51517,0.281532
4,6,5,2.34108,2.33822,0.932131,1.01422,1.09214,0.282032
4,6,6,1.89863,1.89527,0.759485,1.01368,-8.88732,0.283142
4,6,7,1.49004,1.48446,0.601253,1.01444,-1.03547,0.284958
4,6,8,1.1059,1.09686,0.427251,1.01142,0.272402,0.277218
4,7,0,2.37057,2.3835,3.20208,1.02816,-4.54715,0.567142
4,7,1,5.35829,5.46692,2.65905,1.02794,0.930854,0.323379
4,7,2,4.02577,4.07103,1.57712,1.02809,1.49999,0.274801
4,7,3,3.33727,3.3657,1.28738,1.03338,2.71586,0.270994
4,7,4,2.80161,2.81911,1.07466,1.02631,2.36864,0.271453
4,7,5,2.34108,2.33634,0.899444,1.02936,2.52102,0.271998
4,7,6,1.89863,1.89295,0.727407,1.03237,-3.32974,0.270961
4,7,7,1.49004,1.47607,0.579334,1.02195,-0.856333,0.276541
4,7,8,1.1059,1.08779,0.409582,1.02317,0.508915,0.267379
4,8,0,2.37057,2.40068,3.19909,1.04215,-1.86914,0.562705
4,8,1,5.35829,5.52462,2.58386,1.04526,1.07193,0.312396
4,8,2,4.02577,4.11285,1.53472,1.04009,1.49976,0.26613
4,8,3,3.33727,3.39075,1.23914,1.04732,2.34374,0.260219
4,8,4,2.80161,2.83755,1.0392,1.04228,1.5423,0.261243
4,8,5,2.34108,2.35112,0.87503,1.03897,1.82579,0.264157
4,8,6,1.89863,1.89895,0.7053,1.04549,75.9478,0.26215
4,8,7,1.49004,1.47972,0.55731,1.03492,-2.34068,0.266145
4,8,8,1.1059,1.091,0.394805,1.03516,0.01761,0.257725
4,9,0,2.37057,2.41098,3.18299,1.05313,-0.958013,0.558346
4,9,1,5.35829,5.56487,2.5048,1.0558,1.45753,0.302887
4,9,2,4.02577,4.1343,1.4666,1.05248,1.88282,0.254625
4,9,3,3.33727,3.41053,1.20053,1.05547,2.49974,0.252176
4,9,4,2.80161,2.84511,0.995695,1.05447,2.00269,0.250641
4,9,5,2.34108,2.35854,0.838297,1.05183,2.55328,0.253275
4,9,6,1.89863,1.90391,0.688181,1.05278,7.5175,0.255856
4,9,7,1.49004,1.48158,0.533406,1.04929,-3.85386,0.254926
4,9,8,1.1059,1.09351,0.378334,1.04441,-1.35372,0.247786
4,10,0,2.37057,2.41476,3.15711,1.06801,-1.00371,0.55267
4,10,1,5.35829,5.59208,2.43877,1.069,1.46347,0.294183
4,10,2,4.02577,4.14613,1.39193,1.07011,1.91631,0.241521
4,10,3,3.33727,3.41589,1.13889,1.07312,2.50357,0.239195
4,10,4,2.80161,2.8494,0.952397,1.06795,2.19901,0.239925
4,10,5,2.34108,2.35687,0.794148,1.066,4.01213,0.240796
4,10,6,1.89863,1.90523,0.657838,1.06697,7.38265,0.24482
4,10,7,1.49004,1.47889,0.507628,1.06135,-3.90625,0.243694
4,10,8,1.1059,1.09097,0.361587,1.05944,-0.855018,0.23706
4,11,0,2.37057,2.42035,3.14241,1.08233,-1.26901,0.547935
4,11,1,5.35829,5.62999,2.3881,1.08372,1.31043,0.286333
4,11,2,4.02577,4.16296,1.34281,1.08166,1.92487,0.232722
4,11,3,3.33727,3.42384,1.08572,1.0899,2.35417,0.227657
4,11,4,2.80161,2.85259,0.909263,1.08333,2.1577,0.228943
4,11,5,2.34108,2.35498,0.762964,1.07932,4.30616,0.231404
4,11,6,1.89863,1.90488,0.62438,1.07987,10.5576,0.233166
4,11,7,1.49004,1.47795,0.4859,1.07855,-2.83343,0.232891
4,11,8,1.1059,1.08909,0.34696,1.06874,-1.08941,0.228282
4,12,0,2.37057,2.43413,3.14454,1.09346,-1.11532,0.544858
4,12,1,5.35829,5.6864,2.34066,1.09775,1.23588,0.278637
4,12,2,4.02577,4.19769,1.31108,1.09028,1.84703,0.226367
4,12,3,3.33727,3.445,1.05764,1.09966,2.1436,0.221017
4,12,4,2.80161,2.86031,0.874066,1.09569,2.10968,0.219866
4,12,5,2.34108,2.36221,0.733599,1.09078,3.65875,0.222403
4,12,6,1.89863,1.91374,0.602244,1.08971,5.8474,0.224796
4,12,7,1.49004,1.48223,0.473288,1.08627,-5.65035,0.226723
4,12,8,1.1059,1.0897,0.33388,1.07889,-1.43466,0.219912
4,13,0,2.37057,2.44661,3.13977,1.10322,-0.830657,0.541631
4,13,1,5.35829,5.73168,2.28695,1.10565,1.37294,0.271807
4,13,2,4.02577,4.22571,1.25916,1.10469,1.75746,0.216567
4,13,3,3.33727,3.46754,1.03013,1.10616,2.15756,0.214984
4,13,4,2.80161,2.87704,0.835019,1.10551,2.32101,0.210175
4,13,5,2.34108,2.37354,0.707757,1.09993,3.25042,0.214458
4,13,6,1.89863,1.91515,0.572322,1.10367,5.90071,0.213836
4,13,7,1.49004,1.48279,0.459639,1.09152,-7.83134,0.220778
4,13,8,1.1059,1.09039,0.321054,1.09022,-1.62458,0.211467
4,14,0,2.37057,2.43237,3.10036,1.11466,-1.468,0.536672
4,14,1,5.35829,5.7107,2.2215,1.11713,1.35142,0.264437
4,14,2,4.02577,4.20907,1.19049,1.11982,1.82957,0.205299
4,14,3,3.33727,3.45264,0.979077,1.11464,2.59764,0.205651
4,14,4,2.80161,2.86191,0.783257,1.12303,2.54403,0.197659
4,14,5,2.34108,2.35728,0.679015,1.10717,6.23001,0.207044
4,14,6,1.89863,1.89631,0.548391,1.10866,-40.1767,0.206814
4,14,7,1.49004,1.46943,0.434969,1.10463,-2.12925,0.21019
4,14,8,1.1059,1.07876,0.307238,1.10244,-0.228226,0.203272
4,15,0,2.37057,2.24936,2.85687,1.17694,4.53726,0.513016
4,15,1,5.35829,5.29464,2.02443,1.21648,15.4369,0.238455
4,15,2,4.02577,3.89717,1.07042,1.18996,4.00916,0.185236
4,15,3,3.33727,3.19667,0.878587,1.17562,2.42501,0.18629
4,15,4,2.80161,2.64442,0.706728,1.17199,2.09933,0.181464
4,15,5,2.34108,2.17613,0.598832,1.15644,1.65251,0.186675
4,15,6,1.89863,1.75308,0.499653,1.14355,1.27304,0.193218
4,15,7,1.49004,1.35536,0.389138,1.13419,1.0934,0.194433
4,15,8,1.1059,0.993404,0.274955,1.12242,1.03794,0.189372
5,0,0,2.38296,2.27477,2.93191,1.05837,0.069324,0.543278
5,0,1,5.41173,5.03622,2.29254,1.06727,1.31419,0.291521
5,0,2,4.05683,3.82508,1.41574,1.05853,1.28112,0.253472
5,0,3,3.35991,3.1913,1.15452,1.05788,1.45868,0.250001
5,0,4,2.81009,2.69482,0.977173,1.05456,1.25907,0.251906
5,0,5,2.34677,2.25944,0.831449,1.05445,1.45151,0.255098
5,0,6,1.90307,1.85029,0.685715,1.05509,1.73914,0.257267
5,0,7,1.49346,1.45779,0.534438,1.0547,1.14208,0.255629
5,0,8,1.10529,1.09425,0.391233,1.04939,2.10742,0.25318
5,1,0,2.38296,2.30398,3.01658,1.04269,-0.0529284,0.552477
5,1,1,5.41173,5.13534,2.42012,1.04652,1.21406,0.304908
5,1,2,4.05683,3.87725,1.48432,1.04637,1.36121,0.263458
5,1,3,3.35991,3.23587,1.21447,1.04302,1.52661,0.260993
5,1,4,2.81009,2.72796,1.0174,1.04132,1.13921,0.260834
5,1,5,2.34677,2.28021,0.869434,1.03975,1.47027,0.265515
5,1,6,1.90307,1.87132,0.714509,1.04156,1.92048,0.266611
5,1,7,1.49346,1.46918,0.562922,1.03756,1.09505,0.268078
5,1,8,1.10529,1.10009,0.40618,1.03289,1.25664,0.262877
5,2,0,2.38296,2.32687,3.09297,1.02638,-0.23049,0.561337
5,2,1,5.41173,5.21015,2.54688,1.02744,1.18221,0.318254
5,2,2,4.05683,3.92315,1.55479,1.02624,1.06447,0.275231
5,2,3,3.35991,3.27651,1.27843,1.02857,1.78973,0.272537
5,2,4,2.81009,2.75306,1.05743,1.02901,1.05852,0.269782
5,2,5,2.34677,2.29719,0.901175,1.02181,0.960839,0.275277
5,2,6,1.90307,1.88343,0.746289,1.02517,2.07698,0.277728
5,2,7,1.49346,1.48011,0.586323,1.02853,2.00902,0.277158
5,2,8,1.10529,1.10101,0.416394,1.02252,0.574,0.269618
5,3,0,2.38296,2.3508,3.16751,1.01459,-0.264924,0.568783
5,3,1,5.41173,5.28803,2.66012,1.01307,1.25608,0.32924
5,3,2,4.05683,3.97941,1.611,1.01532,0.835483,0.283099
5,3,3,3.35991,3.31196,1.33817,1.01452,2.32718,0.283377
5,3,4,2.81009,2.78045,1.10747,1.0178,1.63803,0.280202
5,3,5,2.34677,2.32041,0.931256,1.01375,1.07051,0.282463
5,3,6,1.90307,1.8903,0.770643,1.01389,2.68492,0.286099
5,3,7,1.49346,1.48593,0.602909,1.01937,2.94414,0.284199
5,3,8,1.10529,1.10438,0.430217,1.01323,3.92339,0.277618
5,4,0,2.38296,2.37057,4.41811,0.504731,-0.377263,0.786457
5,4,1,5.41173,5.35829,5.42792,0.505352,1.5216,0.666073
5,4,2,4.05683,4.02577,3.69797,0.504958,0.926768,0.644398
5,4,3,3.35991,3.33727,3.04611,0.506381,3.47555,0.642421
5,4,4,2.81009,2.80161,2.54909,0.503748,1.04306,0.643299
5,4,5,2.34677,2.34108,2.13055,0.504825,0.613043,0.642928
5,4,6,1.90307,1.89863,1.74115,0.503577,4.5273,0.645264
5,4,7,1.49346,1.49004,1.3682,0.504611,2.76892,0.645088
5,4,8,1.10529,1.1059,0.994178,0.503562,-2.94231,0.641026
5,5,0,2.38296,2.38296,5.64945,0,inf,1
5,5,1,5.41173,5.41173,8.18946,0,-inf,1
5,5,2,4.05683,4.05683,5.76843,0,-inf,1
5,5,3,3.35991,3.35991,4.73433,0,inf,1
5,5,4,2.81009,2.81009,3.97008,-8.48438e-08,inf,1
5,5,5,2.34677,2.34677,3.32012,0,inf,1
5,5,6,1.90307,1.90307,2.69461,0,-inf,1
5,5,7,1.49346,1.49346,2.12107,0,-inf,1
5,5,8,1.10529,1.10529,1.54916,0,inf,1
5,6,0,2.38296,2.38143,4.46115,0.503235,18.4898,0.788198
