eta index 1,eta index 2,centrality index,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,9,8,1.09425,1.09351,0.33207,1.08728,-51.1848,0.218279
0,10,0,2.27477,2.41476,2.8805,1.11193,-0.217266,0.524901
0,10,1,5.03622,5.59208,2.07287,1.11701,1.35383,0.259109
0,10,2,3.82508,4.14613,1.17227,1.11463,1.54068,0.208987
0,10,3,3.1913,3.41589,0.964659,1.11278,1.61075,0.208022
0,10,4,2.69482,2.8494,0.812188,1.1095,1.55012,0.209003
0,10,5,2.25944,2.35687,0.67705,1.1126,1.89938,0.208722
0,10,6,1.85029,1.90523,0.582579,1.10359,2.17995,0.219494
0,10,7,1.45779,1.47889,0.439928,1.09902,3.49617,0.214251
0,10,8,1.09425,1.09097,0.318466,1.09955,-10.3052,0.209551
0,11,0,2.27477,2.42035,2.87946,1.12028,-0.332738,0.522651
0,11,1,5.03622,5.62999,2.04875,1.12673,1.29432,0.254549
0,11,2,3.82508,4.16296,1.152,1.1192,1.56124,0.205132
0,11,3,3.1913,3.42384,0.937194,1.12207,1.58611,0.20177
0,11,4,2.69482,2.85259,0.784265,1.11967,1.54968,0.201715
0,11,5,2.25944,2.35498,0.662092,1.11913,1.90055,0.204167
0,11,6,1.85029,1.90488,0.561473,1.11021,2.501,0.212268
0,11,7,1.45779,1.47795,0.428124,1.1096,3.20925,0.208169
0,11,8,1.09425,1.08909,0.308582,1.10463,-7.61466,0.203772
0,12,0,2.27477,2.43413,2.89204,1.12649,-0.350019,0.521631
0,12,1,5.03622,5.6864,2.05923,1.12988,1.26021,0.254022
0,12,2,3.82508,4.19769,1.1367,1.12379,1.55826,0.201643
0,12,3,3.1913,3.445,0.917087,1.12948,1.5603,0.196771
0,12,4,2.69482,2.86031,0.764427,1.1267,1.56012,0.196421
0,12,5,2.25944,2.36221,0.640094,1.12761,1.9345,0.1973
0,12,6,1.85029,1.91374,0.543062,1.11819,2.50136,0.205213
0,12,7,1.45779,1.48223,0.415828,1.11716,3.04483,0.202081
0,12,8,1.09425,1.0897,0.306385,1.10488,-9.7022,0.202539
0,13,0,2.27477,2.44661,2.89618,1.13216,-0.281096,0.520072
0,13,1,5.03622,5.73168,2.01167,1.1369,1.32797,0.247756
0,13,2,3.82508,4.22571,1.1323,1.12659,1.53419,0.200091
0,13,3,3.1913,3.46754,0.894657,1.13458,1.6107,0.191705
0,13,4,2.69482,2.87704,0.733967,1.13371,1.69179,0.188713
0,13,5,2.25944,2.37354,0.628527,1.13076,1.98616,0.193634
0,13,6,1.85029,1.91515,0.52257,1.12736,2.58453,0.197663
0,13,7,1.45779,1.48279,0.407273,1.11909,3.4727,0.198457
0,13,8,1.09425,1.09039,0.299578,1.11076,-11.9373,0.198041
0,14,0,2.27477,2.43237,2.86917,1.13897,-0.474732,0.516996
0,14,1,5.03622,5.7107,1.94326,1.14933,1.31617,0.239701
0,14,2,3.82508,4.20907,1.09171,1.1352,1.55814,0.193429
0,14,3,3.1913,3.45264,0.868323,1.13615,1.76777,0.187266
0,14,4,2.69482,2.86191,0.713392,1.14042,1.71581,0.183899
0,14,5,2.25944,2.35728,0.620021,1.1296,2.26223,0.192216
0,14,6,1.85029,1.89631,0.507881,1.12774,3.54474,0.193906
0,14,7,1.45779,1.46943,0.389453,1.12787,6.35035,0.190919
